Date,Store,Weekly_Sales
2010-02-26,3,407204.86
2010-02-26,4,1925728.84
2010-02-26,5,270281.63
2010-02-26,6,1432953.21
2010-02-26,7,496083.24
2010-02-26,8,847592.11
2010-02-26,9,473773.27
2010-02-26,10,2006774.96
2010-02-26,11,1336404.65
2010-02-26,12,1048617.17
2010-02-26,13,1817850.32
2010-02-26,14,2095591.63
2010-02-26,15,564883.2
2010-02-26,16,443242.17
2010-02-26,17,749549.55
2010-02-26,18,1068157.45
2010-02-26,19,1373270.06
2010-02-26,20,1898193.95
2010-02-26,21,749597.24
2010-02-26,22,899761.48
2010-02-26,23,1198709.65
2010-02-26,24,1158722.74
2010-02-26,25,628516.57
2010-02-26,26,855385.01
2010-02-26,27,1390934.27
2010-02-26,28,1542173.33
2010-02-26,29,488417.61
2010-02-26,30,472330.71
2010-02-26,31,1344354.41
2010-02-26,32,1053247.1
2010-02-26,33,284052.77
2010-02-26,34,905756.13
2010-02-26,35,1020651.74
2010-02-26,36,447519.44
2010-02-26,37,513615.82
2010-02-26,38,334222.73
2010-02-26,39,1168582.02
2010-02-26,40,863917.41
2010-02-26,41,991941.73
2010-02-26,42,491510.58
2010-02-26,43,618702.79
2010-02-26,44,273079.07
2010-02-26,45,741891.65
2010-03-05,1,1554806.68
2010-03-05,2,1991013.13
2010-03-05,3,415202.04
2010-03-05,4,1971057.44
2010-03-05,5,288855.71
2010-03-05,6,1601348.82
2010-03-05,7,491419.55
2010-03-05,8,881503.95
2010-03-05,9,507297.88
2010-03-05,10,1987090.09
2010-03-05,11,1426622.65
2010-03-05,12,1077018.27
2010-03-05,13,1939980.43
2010-03-05,14,2237544.75
2010-03-05,15,605325.43
2010-03-05,16,444181.85
2010-03-05,17,783300.05
2010-03-05,18,1179738.5
2010-03-05,19,1495844.57
2010-03-05,20,2119213.72
2010-03-05,21,747444.32
2010-03-05,22,1009201.24
2010-03-05,23,1311175.93
2010-03-05,24,1412387.37
2010-03-05,25,665750.06
2010-03-05,26,1005669.58
2010-03-05,27,1313729.72
2010-03-05,28,1608435.45
2010-03-05,29,535087.91
2010-03-05,30,472591.07
2010-03-05,31,1384870.51
2010-03-05,32,1066566.74
2010-03-05,33,291484.89
2010-03-05,34,918295.79
2010-03-05,35,1162610.27
2010-03-05,36,480203.43
2010-03-05,37,519255.68
2010-03-05,38,372239.89
2010-03-05,39,1266254.21
2010-03-05,40,990152.28
2010-03-05,41,1063557.49
2010-03-05,42,554972.42
2010-03-05,43,658600.05
2010-03-05,44,284617.27
2010-03-05,45,777951.22
2010-03-12,1,1439541.59
2010-03-12,2,1990483.78
2010-03-12,3,384200.69
2010-03-12,4,1894324.09
2010-03-12,5,297293.59
2010-03-12,6,1558621.36
2010-03-12,7,480452.1
2010-03-12,8,860336.16
2010-03-12,9,494145.8
2010-03-12,10,1941346.13
2010-03-12,11,1331883.16
2010-03-12,12,985594.23
2010-03-12,13,1840686.94
2010-03-12,14,2156035.06
2010-03-12,15,604173.59
2010-03-12,16,445393.74
2010-03-12,17,763961.82
2010-03-12,18,1138800.32
2010-03-12,19,1467889.2
2010-03-12,20,2010974.84
2010-03-12,21,712312.89
2010-03-12,22,967187.37
2010-03-12,23,1408082.96
2010-03-12,24,1309340.16
2010-03-12,25,660619.99
2010-03-12,26,963382.09
2010-03-12,27,1925113.12
2010-03-12,28,1326877.11
2010-03-12,29,519042.49
2010-03-12,30,468189.93
2010-03-12,31,1366193.35
2010-03-12,32,1093319.37
2010-03-12,33,312161.0
2010-03-12,34,921247.88
2010-03-12,35,1150344.39
2010-03-12,36,441434.2
2010-03-12,37,513015.35
2010-03-12,38,342023.92
2010-03-12,39,1244391.83
2010-03-12,40,899352.4
2010-03-12,41,1023997.71
2010-03-12,42,588363.62
2010-03-12,43,645386.94
2010-03-12,44,272190.83
2010-03-12,45,765687.42
2010-03-19,1,1472515.79
2010-03-19,2,1946070.88
2010-03-19,3,375328.59
2010-03-19,4,1897429.36
2010-03-19,5,281706.41
2010-03-19,6,1693058.91
2010-03-19,7,574450.23
2010-03-19,8,839911.0
2010-03-19,9,485744.61
2010-03-19,10,1946875.06
2010-03-19,11,1364207.0
2010-03-19,12,972088.34
2010-03-19,13,1879794.89
2010-03-19,14,2066219.3
2010-03-19,15,593710.67
2010-03-19,16,504307.35
2010-03-19,17,752034.52
2010-03-19,18,1087507.47
2010-03-19,19,1332940.35
2010-03-19,20,1951848.43
2010-03-19,21,727070.0
2010-03-19,22,966145.09
2010-03-19,23,1229008.32
2010-03-19,24,1222511.29
2010-03-19,25,659795.84
2010-03-19,26,903366.55
2010-03-19,27,1700627.97
2010-03-19,28,1279819.43
2010-03-19,29,496851.6
2010-03-19,30,445736.36
2010-03-19,31,1332261.01
2010-03-19,32,1059781.78
2010-03-19,33,282235.73
2010-03-19,34,892070.82
2010-03-19,35,1117536.09
2010-03-19,36,428851.99
2010-03-19,37,460020.74
2010-03-19,38,333025.47
2010-03-19,39,1301590.13
2010-03-19,40,894865.3
2010-03-19,41,1006597.69
2010-03-19,42,519914.1
2010-03-19,43,668098.49
2010-03-19,44,269624.2
2010-03-19,45,773819.49
2010-03-26,1,1404429.92
2010-03-26,2,1750197.81
2010-03-26,3,359949.27
2010-03-26,4,1762539.3
2010-03-26,5,273282.97
2010-03-26,6,1472033.38
2010-03-26,7,514731.6
2010-03-26,8,772539.12
2010-03-26,9,484946.56
2010-03-26,10,1893532.46
2010-03-26,11,1245624.27
2010-03-26,12,981615.81
2010-03-26,13,1882095.98
2010-03-26,14,2050396.27
2010-03-26,15,592111.49
2010-03-26,16,483177.2
2010-03-26,17,793097.64
2010-03-26,18,1092704.09
2010-03-26,19,1427023.45
2010-03-26,20,1894742.95
2010-03-26,21,686497.53
2010-03-26,22,1012075.12
2010-03-26,23,1310701.8
2010-03-26,24,1258311.56
2010-03-26,25,696687.6
2010-03-26,26,893613.0
2010-03-26,27,1836714.84
2010-03-26,28,1245268.77
2010-03-26,29,552985.34
2010-03-26,30,442457.35
2010-03-26,31,1229635.7
2010-03-26,32,1076021.58
2010-03-26,33,262893.76
2010-03-26,34,880742.35
2010-03-26,35,1078900.44
2010-03-26,36,404438.51
2010-03-26,37,515777.97
2010-03-26,38,335858.11
2010-03-26,39,1235094.66
2010-03-26,40,873354.58
2010-03-26,41,1015196.46
2010-03-26,42,478021.68
2010-03-26,43,623097.93
2010-03-26,44,276279.49
2010-03-26,45,782563.38
2010-04-02,1,1594968.28
2010-04-02,2,2066187.72
2010-04-02,3,423294.4
2010-04-02,4,1979247.12
2010-04-02,5,331406.0
2010-04-02,6,1770333.9
2010-04-02,7,561145.14
2010-04-02,8,914500.91
2010-04-02,9,545206.32
2010-04-02,10,2138651.97
2010-04-02,11,1446210.26
2010-04-02,12,1011822.3
2010-04-02,13,2142482.14
2010-04-02,14,2495630.51
2010-04-02,15,718470.71
2010-04-02,16,490503.69
2010-04-02,17,848521.17
2010-04-02,18,1254107.84
2010-04-02,19,1642970.27
2010-04-02,20,2405395.22
2010-04-02,21,753664.12
2010-04-02,22,1177340.99
2010-04-02,23,1556627.62
2010-04-02,24,1478321.26
2010-04-02,25,822486.37
2010-04-02,26,1029849.2
2010-04-02,27,2053952.97
2010-04-02,28,1441559.4
2010-04-02,29,599629.25
2010-04-02,30,457884.06
2010-04-02,31,1357600.68
2010-04-02,32,1131732.94
2010-04-02,33,274634.52
2010-04-02,34,979428.66
2010-04-02,35,1189556.47
2010-04-02,36,435972.82
2010-04-02,37,540189.7
2010-04-02,38,368929.55
2010-04-02,39,1463942.62
2010-04-02,40,1041202.13
2010-04-02,41,1168826.39
2010-04-02,42,505907.41
2010-04-02,43,650102.8
2010-04-02,44,286197.5
2010-04-02,45,877235.96
2010-04-09,1,1545418.53
2010-04-09,2,1954689.21
2010-04-09,3,415870.28
2010-04-09,4,1818452.72
2010-04-09,5,328020.49
2010-04-09,6,1667181.82
2010-04-09,7,484263.25
2010-04-09,8,916033.92
2010-04-09,9,529384.31
2010-04-09,10,2041069.37
2010-04-09,11,1470308.32
2010-04-09,12,1041238.87
2010-04-09,13,1898321.33
2010-04-09,14,2258781.28
2010-04-09,15,634605.77
2010-04-09,16,424083.99
2010-04-09,17,770228.02
2010-04-09,18,1174447.55
2010-04-09,19,1489613.32
2010-04-09,20,2007796.26
2010-04-09,21,751181.4
2010-04-09,22,1033171.07
2010-04-09,23,1264434.7
2010-04-09,24,1379579.63
2010-04-09,25,712647.97
2010-04-09,26,1022293.81
2010-04-09,27,1955814.13
2010-04-09,28,1382359.21
2010-04-09,29,569937.23
2010-04-09,30,454800.96
2010-04-09,31,1395710.09
2010-04-09,32,1095889.22
2010-04-09,33,325201.05
2010-04-09,34,950684.2
2010-04-09,35,1198014.97
2010-04-09,36,453016.91
2010-04-09,37,513327.55
2010-04-09,38,341630.46
2010-04-09,39,1327035.27
2010-04-09,40,919839.19
2010-04-09,41,1082158.21
2010-04-09,42,582552.26
2010-04-09,43,693058.34
2010-04-09,44,257361.3
2010-04-09,45,833782.7
2010-04-16,1,1466058.28
2010-04-16,2,1874957.94
2010-04-16,3,354993.26
2010-04-16,4,1851519.69
2010-04-16,5,306858.69
2010-04-16,6,1519846.36
2010-04-16,7,406228.19
2010-04-16,8,882917.12
2010-04-16,9,485764.32
2010-04-16,10,1826241.44
2010-04-16,11,1323243.35
2010-04-16,12,957997.52
2010-04-16,13,1819660.44
2010-04-16,14,2121788.61
2010-04-16,15,641208.65
2010-04-16,16,436312.41
2010-04-16,17,757738.76
2010-04-16,18,1135577.62
2010-04-16,19,1460354.67
2010-04-16,20,1985784.59
2010-04-16,21,716026.51
2010-04-16,22,1000968.67
2010-04-16,23,1288823.72
2010-04-16,24,1268266.72
2010-04-16,25,715311.6
2010-04-16,26,905548.38
2010-04-16,27,1857500.96
2010-04-16,28,1268240.66
2010-04-16,29,509100.84
2010-04-16,30,471054.16
2010-04-16,31,1367448.28
2010-04-16,32,1082763.27
2010-04-16,33,307779.64
2010-04-16,34,923344.54
2010-04-16,35,1084487.55
2010-04-16,36,483699.56
2010-04-16,37,524544.83
2010-04-16,38,337723.49
2010-04-16,39,1242874.98
2010-04-16,40,882636.96
2010-04-16,41,1043388.79
2010-04-16,42,549528.16
2010-04-16,43,675282.2
2010-04-16,44,280048.74
2010-04-16,45,782221.96
2010-04-23,1,1391256.12
2010-04-23,2,1821990.93
2010-04-23,3,339976.65
2010-04-23,4,1802677.9
2010-04-23,5,288839.73
2010-04-23,6,1540435.99
2010-04-23,7,404751.25
2010-04-23,8,850440.26
2010-04-23,9,488683.57
2010-04-23,10,1829521.83
2010-04-23,11,1283766.55
2010-04-23,12,993833.44
2010-04-23,13,1909330.77
2010-04-23,14,2138144.91
2010-04-23,15,643097.6
2010-04-23,16,370230.94
2010-04-23,17,977790.83
2010-04-23,18,1132433.55
2010-04-23,19,1456793.33
2010-04-23,20,1878862.42
2010-04-23,21,718780.59
2010-04-23,22,969594.47
2010-04-23,23,1315023.08
2010-04-23,24,1264117.01
2010-04-23,25,694531.72
2010-04-23,26,881930.87
2010-04-23,27,1850205.47
2010-04-23,28,1244177.21
2010-04-23,29,505329.66
2010-04-23,30,462454.39
2010-04-23,31,1280465.8
2010-04-23,32,1072474.8
2010-04-23,33,263263.02
2010-04-23,34,910240.68
2010-04-23,35,1110827.48
2010-04-23,36,434116.8
2010-04-23,37,527019.78
2010-04-23,38,335121.82
2010-04-23,39,1280231.85
2010-04-23,40,844958.49
2010-04-23,41,1067340.74
2010-04-23,42,492364.77
2010-04-23,43,638957.35
2010-04-23,44,278287.04
2010-04-23,45,749779.1
2010-04-30,1,1425100.71
2010-04-30,2,1802450.29
2010-04-30,3,361248.39
2010-04-30,4,1817273.28
2010-04-30,5,298697.84
2010-04-30,6,1498080.16
2010-04-30,7,373655.61
2010-04-30,8,778672.64
2010-04-30,9,491723.42
2010-04-30,10,1790694.59
2010-04-30,11,1239766.89
2010-04-30,12,954220.22
2010-04-30,13,1785823.37
2010-04-30,14,2082355.12
2010-04-30,15,570791.11
2010-04-30,16,383550.93
2010-04-30,17,807798.73
2010-04-30,18,1060446.16
2010-04-30,19,1405065.57
2010-04-30,20,1919053.21
2010-04-30,21,680532.69
2010-04-30,22,977683.06
2010-04-30,23,1259414.52
2010-04-30,24,1259877.19
2010-04-30,25,706924.02
2010-04-30,26,904503.85
2010-04-30,27,1805885.04
2010-04-30,28,1186971.02
2010-04-30,29,501013.47
2010-04-30,30,456140.34
2010-04-30,31,1243200.24
2010-04-30,32,1066792.63
2010-04-30,33,275883.23
2010-04-30,34,859922.19
2010-04-30,35,1096930.65
2010-04-30,36,457899.64
2010-04-30,37,517850.83
2010-04-30,38,337979.65
2010-04-30,39,1263836.59
2010-04-30,40,816838.31
2010-04-30,41,1063960.11
2010-04-30,42,477615.87
2010-04-30,43,630740.11
2010-04-30,44,272997.65
2010-04-30,45,737265.57
2010-05-07,1,1603955.12
2010-05-07,2,2042581.71
2010-05-07,3,399323.86
2010-05-07,4,2000626.14
2010-05-07,5,333522.6
2010-05-07,6,1619920.04
2010-05-07,7,395453.83
2010-05-07,8,916820.96
2010-05-07,9,526128.61
2010-05-07,10,1921432.16
2010-05-07,11,1312329.78
2010-05-07,12,1043240.27
2010-05-07,13,2005478.46
2010-05-07,14,2370116.52
2010-05-07,15,661348.88
2010-05-07,16,403217.22
2010-05-07,17,843848.65
2010-05-07,18,1222255.47
2010-05-07,19,1566219.77
2010-05-07,20,2137202.38
2010-05-07,21,744969.42
2010-05-07,22,1052973.28
2010-05-07,23,1365552.28
2010-05-07,24,1409705.03
2010-05-07,25,724468.97
2010-05-07,26,1074479.73
2010-05-07,27,1939458.84
2010-05-07,28,1532893.22
2010-05-07,29,568497.35
2010-05-07,30,457883.94
2010-05-07,31,1381796.8
2010-05-07,32,1133657.58
2010-05-07,33,326870.13
2010-05-07,34,953495.48
2010-05-07,35,1182099.88
2010-05-07,36,489372.02
2010-05-07,37,543234.77
2010-05-07,38,383657.44
2010-05-07,39,1355704.21
2010-05-07,40,1009797.06
2010-05-07,41,1175738.22
2010-05-07,42,582846.22
2010-05-07,43,691498.6
2010-05-07,44,285379.86
2010-05-07,45,812190.76
2010-05-14,1,1494251.5
2010-05-14,2,1880752.36
2010-05-14,3,384357.94
2010-05-14,4,1875597.28
2010-05-14,5,296673.77
2010-05-14,6,1524059.4
2010-05-14,7,372673.61
2010-05-14,8,873337.84
2010-05-14,9,492792.8
2010-05-14,10,1808056.41
2010-05-14,11,1266796.13
2010-05-14,12,966054.97
2010-05-14,13,1890273.44
2010-05-14,14,2129771.13
2010-05-14,15,594385.2
2010-05-14,16,401770.9
2010-05-14,17,813756.09
2010-05-14,18,1092616.49
2010-05-14,19,1437319.45
2010-05-14,20,2033211.62
2010-05-14,21,723559.88
2010-05-14,22,973585.33
2010-05-14,23,1303055.09
2010-05-14,24,1346783.35
2010-05-14,25,698073.95
2010-05-14,26,972663.59
2010-05-14,27,1842465.78
2010-05-14,28,1245898.73
2010-05-14,29,518940.88
2010-05-14,30,461868.09
2010-05-14,31,1287288.59
2010-05-14,32,1079314.52
2010-05-14,33,331173.51
2010-05-14,34,933924.44
2010-05-14,35,1104277.57
2010-05-14,36,476733.74
2010-05-14,37,505196.08
2010-05-14,38,346174.3
2010-05-14,39,1226997.7
2010-05-14,40,907262.47
2010-05-14,41,1116439.02
2010-05-14,42,564345.55
2010-05-14,43,690851.59
2010-05-14,44,286515.92
2010-05-14,45,758182.2
2010-05-21,1,1399662.07
2010-05-21,2,1896937.1
2010-05-21,3,343763.17
2010-05-21,4,1903752.6
2010-05-21,5,301615.49
2010-05-21,6,1531938.44
2010-05-21,7,395195.65
2010-05-21,8,818333.21
2010-05-21,9,506274.94
2010-05-21,10,1847613.58
2010-05-21,11,1271646.62
2010-05-21,12,958374.56
2010-05-21,13,1853657.6
2010-05-21,14,2108187.1
2010-05-21,15,616598.1
2010-05-21,16,435300.51
2010-05-21,17,826626.5
2010-05-21,18,1101621.36
2010-05-21,19,1377716.17
2010-05-21,20,1893736.9
2010-05-21,21,753361.72
2010-05-21,22,979977.89
2010-05-21,23,1327424.28
2010-05-21,24,1283482.85
2010-05-21,25,704113.22
2010-05-21,26,986765.01
2010-05-21,27,1836595.58
2010-05-21,28,1217923.71
2010-05-21,29,502021.82
2010-05-21,30,455751.84
2010-05-21,31,1337405.6
2010-05-21,32,1143819.35
2010-05-21,33,294264.2
2010-05-21,34,913616.32
2010-05-21,35,1078182.18
2010-05-21,36,474917.98
2010-05-21,37,510494.7
2010-05-21,38,340497.08
2010-05-21,39,1350673.98
2010-05-21,40,885613.91
2010-05-21,41,1163234.33
2010-05-21,42,504403.16
2010-05-21,43,672062.08
2010-05-21,44,267065.35
2010-05-21,45,747888.25
2010-05-28,1,1432069.95
2010-05-28,2,1957113.89
2010-05-28,3,350089.23
2010-05-28,4,1857533.7
2010-05-28,5,310013.11
2010-05-28,6,1644470.66
2010-05-28,7,442734.55
2010-05-28,8,868041.56
2010-05-28,9,558143.53
2010-05-28,10,1904618.17
2010-05-28,11,1264272.52
2010-05-28,12,955451.16
2010-05-28,13,1877358.86
2010-05-28,14,2227152.16
2010-05-28,15,744772.88
2010-05-28,16,479430.0
2010-05-28,17,872817.62
2010-05-28,18,1256282.79
2010-05-28,19,1648882.62
2010-05-28,20,2065984.95
2010-05-28,21,755214.26
2010-05-28,22,1103740.4
2010-05-28,23,1571158.56
2010-05-28,24,1473868.15
2010-05-28,25,792442.54
2010-05-28,26,1069851.59
2010-05-28,27,1962468.67
2010-05-28,28,1176588.25
2010-05-28,29,577627.66
2010-05-28,30,462474.16
2010-05-28,31,1309437.17
2010-05-28,32,1205662.85
2010-05-28,33,279246.33
2010-05-28,34,942868.38
2010-05-28,35,1223777.48
2010-05-28,36,447050.42
2010-05-28,37,532241.22
2010-05-28,38,326469.43
2010-05-28,39,1365541.59
2010-05-28,40,1008483.07
2010-05-28,41,1246654.24
2010-05-28,42,484097.03
2010-05-28,43,630315.76
2010-05-28,44,291891.01
2010-05-28,45,801098.43
2010-06-04,1,1615524.71
2010-06-04,2,2102539.93
2010-06-04,3,396968.8
2010-06-04,4,1903290.58
2010-06-04,5,337825.89
2010-06-04,6,1857380.09
2010-06-04,7,509183.22
2010-06-04,8,958225.41
2010-06-04,9,586061.46
2010-06-04,10,1931406.28
2010-06-04,11,1396322.19
2010-06-04,12,1049357.36
2010-06-04,13,2022705.22
2010-06-04,14,2363601.47
2010-06-04,15,693192.5
2010-06-04,16,516295.81
2010-06-04,17,876902.87
2010-06-04,18,1271311.76
2010-06-04,19,1519013.49
2010-06-04,20,2203619.35
2010-06-04,21,806012.48
2010-06-04,22,1095539.13
2010-06-04,23,1514435.51
2010-06-04,24,1566668.91
2010-06-04,25,764155.44
2010-06-04,26,1003202.66
2010-06-04,27,2073102.59
2010-06-04,28,1543678.02
2010-06-04,29,588017.66
2010-06-04,30,458343.7
2010-06-04,31,1427624.5
2010-06-04,32,1149234.96
2010-06-04,33,285100.0
2010-06-04,34,966187.51
2010-06-04,35,1282378.71
2010-06-04,36,471088.88
2010-06-04,37,479195.02
2010-06-04,38,376184.88
2010-06-04,39,1512207.95
2010-06-04,40,1052429.03
2010-06-04,41,1305068.1
2010-06-04,42,556046.12
2010-06-04,43,682012.53
2010-06-04,44,282351.82
2010-06-04,45,837548.62
2010-06-11,1,1542561.09
2010-06-11,2,2025538.76
2010-06-11,3,355017.09
2010-06-11,4,1870619.23
2010-06-11,5,296641.91
2010-06-11,6,1685652.35
2010-06-11,7,498580.87
2010-06-11,8,914835.86
2010-06-11,9,522715.68
2010-06-11,10,1827521.71
2010-06-11,11,1339570.85
2010-06-11,12,1016039.71
2010-06-11,13,2037880.96
2010-06-11,14,2249570.04
2010-06-11,15,619337.29
2010-06-11,16,535587.31
2010-06-11,17,845252.21
2010-06-11,18,1173521.82
2010-06-11,19,1410683.94
2010-06-11,20,2100489.79
2010-06-11,21,784305.55
2010-06-11,22,1061196.47
2010-06-11,23,1439432.06
2010-06-11,24,1375458.21
2010-06-11,25,737163.2
2010-06-11,26,1073862.59
2010-06-11,27,1873812.93
2010-06-11,28,1348995.17
2010-06-11,29,540716.58
2010-06-11,30,445530.16
2010-06-11,31,1377092.33
2010-06-11,32,1192074.09
2010-06-11,33,310800.79
2010-06-11,34,954681.56
2010-06-11,35,1160412.71
2010-06-11,36,467711.18
2010-06-11,37,481915.11
2010-06-11,38,354828.65
2010-06-11,39,1371405.33
2010-06-11,40,1007574.67
2010-06-11,41,1217199.39
2010-06-11,42,607218.6
2010-06-11,43,684023.95
2010-06-11,44,296818.2
2010-06-11,45,794698.77
2010-06-18,1,1503284.06
2010-06-18,2,2001636.96
2010-06-18,3,364076.85
2010-06-18,4,1929736.35
2010-06-18,5,313795.6
2010-06-18,6,1677248.24
2010-06-18,7,481144.09
2010-06-18,8,869922.56
2010-06-18,9,513073.87
2010-06-18,10,1837636.24
2010-06-18,11,1336522.92
2010-06-18,12,956211.2
2010-06-18,13,2003435.31
2010-06-18,14,2248645.59
2010-06-18,15,652329.53
2010-06-18,16,540149.85
2010-06-18,17,877996.27
2010-06-18,18,1183225.92
2010-06-18,19,1457314.39
2010-06-18,20,2091903.63
2010-06-18,21,785104.29
2010-06-18,22,1052895.25
2010-06-18,23,1507708.93
2010-06-18,24,1354168.18
2010-06-18,25,780444.94
2010-06-18,26,1001286.67
2010-06-18,27,1887182.27
2010-06-18,28,1267619.06
2010-06-18,29,558731.74
2010-06-18,30,447727.52
2010-06-18,31,1368090.08
2010-06-18,32,1150191.72
2010-06-18,33,272399.08
2010-06-18,34,941612.04
2010-06-18,35,1198025.76
2010-06-18,36,485694.72
2010-06-18,37,505761.62
2010-06-18,38,335691.85
2010-06-18,39,1368312.45
2010-06-18,40,973105.3
2010-06-18,41,1202963.06
2010-06-18,42,529418.64
2010-06-18,43,700009.77
2010-06-18,44,293481.36
2010-06-18,45,815130.5
2010-06-25,1,1422711.6
2010-06-25,2,1939927.09
2010-06-25,3,357346.48
2010-06-25,4,1846651.95
2010-06-25,5,295257.3
2010-06-25,6,1640681.88
2010-06-25,7,553714.87
2010-06-25,8,814919.11
2010-06-25,9,509263.28
2010-06-25,10,1768172.31
2010-06-25,11,1262025.08
2010-06-25,12,958007.69
2010-06-25,13,1970340.25
2010-06-25,14,2246179.91
2010-06-25,15,672194.03
2010-06-25,16,546554.96
2010-06-25,17,893995.44
2010-06-25,18,1220983.17
2010-06-25,19,1450407.32
2010-06-25,20,1973135.87
2010-06-25,21,769848.75
2010-06-25,22,1095020.33
2010-06-25,23,1415204.88
2010-06-25,24,1399073.75
2010-06-25,25,737569.14
2010-06-25,26,976242.09
2010-06-25,27,1962625.01
2010-06-25,28,1231025.07
2010-06-25,29,585548.79
2010-06-25,30,453210.24
2010-06-25,31,1303523.73
2010-06-25,32,1124763.74
2010-06-25,33,259419.91
2010-06-25,34,895800.07
2010-06-25,35,1230245.74
2010-06-25,36,434879.87
2010-06-25,37,485419.39
2010-06-25,38,322046.76
2010-06-25,39,1280414.8
2010-06-25,40,940405.03
2010-06-25,41,1174209.52
2010-06-25,42,484327.56
2010-06-25,43,625196.14
2010-06-25,44,288247.24
2010-06-25,45,792299.15
2010-07-02,1,1492418.14
2010-07-02,2,2003940.64
2010-07-02,3,381151.72
2010-07-02,4,1881337.21
2010-07-02,5,305993.27
2010-07-02,6,1759777.25
2010-07-02,7,575570.77
2010-07-02,8,852333.75
2010-07-02,9,528832.54
2010-07-02,10,1845893.87
2010-07-02,11,1302600.14
2010-07-02,12,951957.31
2010-07-02,13,2018314.71
2010-07-02,14,2334788.42
2010-07-02,15,709337.11
2010-07-02,16,610641.42
2010-07-02,17,958875.37
2010-07-02,18,1257928.35
2010-07-02,19,1549018.68
